as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_type,procurement_category,procurement_method,product_line,wb_contract_number,major_sector,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,total_contract_amount_usd,borrower_contract_reference_number,serialid
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Croatia,HR,P008335,Farmer Support Services Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1214173,"Agriculture, fishing, and forestry",LABORATORY EQUIPMENT,2001-08-01,LABENA D.O.O.,Slovenia,SI,11243.00,LOT 4,45739
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Croatia,HR,P039161,Railway Modernization & Restructuring Project,"Equipment, Transportation",Goods,International Competitive Bidding,IBRD/IDA,1223960,Health and other social services,LOT 4 - 14.ICB-4/10-331/02 - (201.3 M3 OF IMPREGNANTED OAK T,2002-06-28,AC KONIM,Slovenia,SI,27989.00,14.ICB-4/10-331/02 (LOT 4),45807
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Croatia,HR,P039161,Railway Modernization & Restructuring Project,"Equipment, Transportation",Goods,International Competitive Bidding,IBRD/IDA,1223960,Transportation,LOT 4 - 14.ICB-4/10-331/02 - (201.3 M3 OF IMPREGNANTED OAK T,2002-06-28,AC KONIM,Slovenia,SI,51980.00,14.ICB-4/10-331/02 (LOT 4),45815
2013-07-21,2002,MIDDLE EAST AND NORTH AFRICA,"Egypt, Arab Republic of",EG,P041410,Pumping Stations Rehabilitation III,"Works, Installation & Erection",Civil Works,International Competitive Bidding,IBRD/IDA,1224754,"Public Administration, Law, and Justice",SUPPLY AND INSTALLATION OF PUMPING STATION TERFA 1,2002-04-08,LITOSTROJ E.I.,Slovenia,SI,90122.00,N/A,46224
2013-07-21,2002,MIDDLE EAST AND NORTH AFRICA,"Egypt, Arab Republic of",EG,P041410,Pumping Stations Rehabilitation III,"Works, Installation & Erection",Civil Works,International Competitive Bidding,IBRD/IDA,1224754,"Agriculture, fishing, and forestry",SUPPLY AND INSTALLATION OF PUMPING STATION TERFA 1,2002-04-08,LITOSTROJ E.I.,Slovenia,SI,811095.00,N/A,46226
2013-07-21,2002,EUROPE AND CENTRAL ASIA,"Macedonia, former Yugoslav Republic of",MK,P042399,Power System Improvement Project,"Equipment, Mechanical",Goods,International Competitive Bidding,IBRD/IDA,1216274,Energy and mining,"NEW BUTTERFLY VALVES INCLUDING ACCESSORIES, CONTROL SYSTEMS",2001-10-16,LITOSTROJ E.I.,Slovenia,SI,1948597.00,HPP-2001/1,50612
2013-07-21,2002,EUROPE AND CENTRAL ASIA,"Macedonia, former Yugoslav Republic of",MK,P042399,Power System Improvement Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1217598,Energy and mining,"TURBINES, TUBINE AND GENERATOR BEARINGS, GOVERNORS AND INLET",2002-01-09,LITOSTROJ,Slovenia,SI,2537720.00,HPP-2001/2,50616
2013-07-21,2002,EUROPE AND CENTRAL ASIA,"Macedonia, former Yugoslav Republic of",MK,P042399,Power System Improvement Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1217598,Energy and mining,"TURBINES, TUBINE AND GENERATOR BEARINGS, GOVERNORS AND INLET",2002-01-09,TURBOINSTITUT,Slovenia,SI,2537720.00,HPP-2001/2,50620
2013-07-21,2002,EUROPE AND CENTRAL ASIA,"Macedonia, former Yugoslav Republic of",MK,P042399,Power System Improvement Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1217598,Energy and mining,"TURBINES, TUBINE AND GENERATOR BEARINGS, GOVERNORS AND INLET",2002-01-09,IMSA HUGAL,Slovenia,SI,2537720.00,HPP-2001/2,50624
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Single Source Selection,IBRD/IDA,1219851,"Public Administration, Law, and Justice",HEALTH INFORMATICS SPECIALIST,2002-03-08,"LCI INFORMACIJSKI INZENIRING, LEO CIGLENECKI S.P.",Slovenia,SI,56351.00,7005 SLO - HEALTH INFORMATICS SP,55324
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216117,"Public Administration, Law, and Justice",HISA COORDINATION UNIT (HCU),2001-10-15,"INFONET D.O.O. KRANJ, SLOVENIA",Slovenia,SI,164275.00,7005 SLO - HISA COORDINATION UNI,55325
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1219681,Health and other social services,TRANSLATION SERVICES,2002-03-15,TOLMACENJE IN PREVAJANJE MOJCA ANDRIJANIC S.P.,Slovenia,SI,29153.00,7005 SLO - TRANSLATION SERVICES,55326
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1219681,"Public Administration, Law, and Justice",TRANSLATION SERVICES,2002-03-15,TOLMACENJE IN PREVAJANJE MOJCA ANDRIJANIC S.P.,Slovenia,SI,23852.00,7005 SLO - TRANSLATION SERVICES,55327
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1219260,Health and other social services,STRENGTHENING HEALTH CARE MANAGEMENT (UNDER HEALTH POLICY SU,2002-02-20,EPOS HEALTH CONSULTANTS GMBH,Germany,DE,374261.00,7005 SLO - EPOS HEALTH CONSULTAN,55328
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1219260,"Public Administration, Law, and Justice",STRENGTHENING HEALTH CARE MANAGEMENT (UNDER HEALTH POLICY SU,2002-02-20,EPOS HEALTH CONSULTANTS GMBH,Germany,DE,306214.00,7005 SLO - EPOS HEALTH CONSULTAN,55329
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216117,Health and other social services,HISA COORDINATION UNIT (HCU),2001-10-15,"INFONET D.O.O. KRANJ, SLOVENIA",Slovenia,SI,200781.00,7005 SLO - HISA COORDINATION UNI,55330
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216119,Health and other social services,ADAPTING AND IMPROVING REIMBURSEMENT SYSTEM IN HEALTH CARE,2001-10-12,HEALTH INSURANCE COMMISSION,Australia,AU,553315.00,7005 SLO - HIC CONTRACT,55331
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216119,"Public Administration, Law, and Justice",ADAPTING AND IMPROVING REIMBURSEMENT SYSTEM IN HEALTH CARE,2001-10-12,HEALTH INSURANCE COMMISSION,Australia,AU,452712.00,7005 SLO - HIC CONTRACT,55332
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Single Source Selection,IBRD/IDA,1219851,Health and other social services,HEALTH INFORMATICS SPECIALIST,2002-03-08,"LCI INFORMACIJSKI INZENIRING, LEO CIGLENECKI S.P.",Slovenia,SI,68874.00,7005 SLO - HEALTH INFORMATICS SP,55333
2013-07-21,2002,LATIN AMERICA AND CARIBBEAN,Uruguay,UY,P008177,Uruguay Power Transmission & Distribution Project,"Equipment, Energy Exploration, Productio",Goods,International Competitive Bidding,IBRD/IDA,1215235,Energy and mining,PURCHASE OF ENERGY METERS AND ACCESORIES (ITEM 1),2002-03-18,ISKRAEMECO D.D.,Slovenia,SI,1258500.00,"FF31, ISKRAEMECO D.D. (ITEM 1)",57007
2013-07-21,2002,LATIN AMERICA AND CARIBBEAN,Uruguay,UY,P008177,Uruguay Power Transmission & Distribution Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1235550,Energy and mining,MEDIDORES MONOFASICOS DE INDUCCION ENERGIA ELECTRICA ACTIVA,2003-10-17,ISKRAEMECO D.D.,Slovenia,SI,251700.00,FF31 EXTESION CTR. ISKRAEMECO,57023
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P070079,Trade & Transport Facilitation in South East Europe Project,"Equipment, Transportation",Goods,International Competitive Bidding,IBRD/IDA,1225968,"Public Administration, Law, and Justice",DELIVERY & INSTALLATION OF WEIGHING SCALES FOR CUSTOMS ADMIN,2002-12-04,LIBELA ELSI,Slovenia,SI,80107.00,TTFSE-ICB-01-G-02 - LOT 1,60108
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P044523,BASIC HEALTH,"Equipment, Medical",Goods,Direct Contracting,IBRD/IDA,1224818,Health and other social services,EQUIPMENT AND TESTS FOR SURVEY,2002-08-13,ROCHE DIAGNOSTICS,Slovenia,SI,7195.00,BA/RS/MOH/PCU/BHP/G/IS-010/02 RO,60138
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P044523,BASIC HEALTH,"Equipment, Medical",Goods,Direct Contracting,IBRD/IDA,1224818,"Public Administration, Law, and Justice",EQUIPMENT AND TESTS FOR SURVEY,2002-08-13,ROCHE DIAGNOSTICS,Slovenia,SI,1579.00,BA/RS/MOH/PCU/BHP/G/IS-010/02 RO,60143
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P044523,BASIC HEALTH,Miscellaneous,Goods,International Competitive Bidding,IBRD/IDA,1230804,Health and other social services,VIDEO PRESENTATION EQUIPMENT - PACKAGE 1,2003-01-16,TSE INZENIRING,Slovenia,SI,90061.00,BA-BHP-ICB-13-G-02-SA-HD PACKAGE,60252
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Moldova,MD,P078505,Persistent Organic Pollutants (POPs) Enabling Acitivites in,Project Management,Consultant Services,Individual,Technical Assistance (Non-lending),1243363,Health and other social services,CONSULTING SERVICES TO DEVELOP A NATIONAL IMPLEMENTATION PLA,2004-01-15,INDIVIDUAL CONSULTANT,Slovenia,SI,20316.00,52/CS/2004 SIMONCIC,67897
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Serbia,YF,P077675,Health Project (Serbia),Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1230052,Health and other social services,HEALTH INSURANCE AND HEALTH CARE FINANCING,2003-03-01,INDIVIDUAL CONSULTANT,Slovenia,SI,56866.00,PHRD/C1/CS/LOI-1/03,70392
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1232352,Health and other social services,SYSTEM ANALYST,2003-06-16,INDIVIDUAL CONSULTANT,Slovenia,SI,110467.00,7005-SLO: SYSTEM ANALYST,70516
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Management Advice, Technical/Operation A",Consultant Services,Single Source Selection,IBRD/IDA,1232299,Health and other social services,NATIONAL HEALTH INFORMATICS SPECIALIST (NHIS-2),2003-06-09,MR. STEPHEN KENNY,Canada,CA,100000.00,7005-SLO NHIS-2,70517
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Selection Based On Consultant's Qualific,IBRD/IDA,1224296,"Public Administration, Law, and Justice",NHIS CONTRACT FOR CONSULTING SERVICES NO. 1/III-001,2002-09-02,BRITISH COLUMBIA HEALTH INDUTRY DEVELOPMENT OFFICE,Canada,CA,44978.00,7005-SL NHIS CONTRACT,70518
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1232298,"Public Administration, Law, and Justice",PUBLIC RELATIONS SERVICES,2003-06-02,INDIVIDUAL CONSULTANT,Slovenia,SI,40806.00,PUBLIC RELATIONS SERVICES (7005-,70519
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Policy and Strategy,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1229879,"Public Administration, Law, and Justice",COST RECOVERY STRATEGY,2003-01-28,BLOM ASA,Norway,NO,266587.00,PCO_8.1C_QCBS,70520
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Services, Others",Civil Works,Direct Contracting,IBRD/IDA,1228349,Health and other social services,AR-DRG VER4.2/ICD-10-AM PROCEDURE CLASSIFICATION (RIGHT TO U,2002-10-23,COMMOONWEALTH DEPARTMENT OF HEALTH AND AGING,Australia,AU,49505.00,HSMP #(1-III-001),70521
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Selection Based On Consultant's Qualific,IBRD/IDA,1224296,Health and other social services,NHIS CONTRACT FOR CONSULTING SERVICES NO. 1/III-001,2002-09-02,BRITISH COLUMBIA HEALTH INDUTRY DEVELOPMENT OFFICE,Canada,CA,54973.00,7005-SL NHIS CONTRACT,70522
2013-07-21,2003,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1232298,Health and other social services,PUBLIC RELATIONS SERVICES,2003-06-02,INDIVIDUAL CONSULTANT,Slovenia,SI,49874.00,PUBLIC RELATIONS SERVICES (7005-,70523
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P070079,Trade & Transport Facilitation in South East Europe Project,"Works, Buildings",Civil Works,International Competitive Bidding,IBRD/IDA,1242972,"Public Administration, Law, and Justice","CONSTRUCTION OF ADMINISTRATIVE BUILDINGS, CANOPIES AND RELAT",2004-05-21,SCT DD LJUBLJANA,Slovenia,SI,3048160.00,BA-TTFSE-ICB-13-CW-03-BOS,75605
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P071347,Road Management and Safety Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1233007,Transportation,REHABILITATION OF VIJAKA-DRAGALOVCI-RUDANKA ROAD,2003-08-18,"""CM"" CELJE",Slovenia,SI,1033287.00,RS-WB/03-4W,75647
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P058521,Electric Power Reconstruction 3 Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1234955,Energy and mining,REHABILITATION OF 220/110 KV TRANSMISSION LINES,2003-11-27,KAPIS,Slovenia,SI,2366634.00,TEPRP-02/03 WB,75672
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P058521,Electric Power Reconstruction 3 Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1234958,Energy and mining,REHABILITATION OF 400 KV TRANSMISSION LINES,2003-11-27,KAPIS,Slovenia,SI,5820680.00,TEPRP-01/03 WB,75678
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Bulgaria,BG,P055157,Health Sector Reform Project,"Construction Supervision, Quality Manage",Consultant Services,Quality Based Selection,IBRD/IDA,1234463,Health and other social services,INTERNATIONAL CONSULTANTS FOR INTEGRATED HEALTH INSURANCE IN,2003-10-06,INFONET KRANJ,Slovenia,SI,147241.00,QBS 001 IT AUDIT,76178
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Croatia,HR,P043195,Rijeka Gateway Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1237962,Transportation,CONSTRUCTION OF STATE ROADS D.8 (LOT.1),2003-12-22,KONSTRUKTOR - INZENJERING D.D.,Slovenia,SI,17101645.00,D-8 SECTION (LOT-1),78262
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Serbia,YF,P069374,Employment Promotion Project (LIL),Training/Knowledge Transfer,Consultant Services,Quality Based Selection,IBRD/IDA,1241589,Health and other social services,TOR3:TECHNICAL ASSISTANCE FOR THE DESIGN AND IMPLEMENTATION,2004-07-19,CUPS (SLOVENE CENTRE FOR TRAINING COMPANIES),Slovenia,SI,55494.00,SAM-EPP-CQ-003-S-04-2753YF,85396
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1237370,"Public Administration, Law, and Justice",MODERNIZATION OF THE REAL ESTATE INFORMATION SYSTEM,2003-10-06,HERMES SOFTLAB D.D.,Slovenia,SI,1964074.00,2513-03-000276,85564
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Slovenia,SI,P081843,Building Capacity in Public Accounting IDF Grant,Training/Knowledge Transfer,Consultant Services,Selection Under a Fixed Budget,Institutional Development Fund,1238759,"Public Administration, Law, and Justice",ESTABLISHING TRAINING PROGRAM IN LINE WITH BEST INTERNATIONA,2003-08-06,CHARTERED INSTITUTE OF PUBLIC FINANCE & ACCOUNTANCY WITH INS,United Kingdom,GB,129775.00,WBTF 51826-SLO,85565
2013-07-21,2004,EUROPE AND CENTRAL ASIA,Ukraine,UA,P077738,Equal Access to Quality Education in Ukraine Project,"Sector studies, Master Plans",Consultant Services,Individual,IBRD/IDA,1240440,Education,TA TO ANALYZE DEV NEEDS IN EDUC ASSESS AND EVAL EDUC SECTOR,2004-03-23,INDIVIDUAL CONSULTANT,Slovenia,SI,43000.00,D3,86682
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P071347,Road Management and Safety Project,"Management Advice, Technical/Operation A",Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1241310,Transportation,TECHNICAL ASSISTANCE IN IMPROVEMENT AND PREPARATION OF ROAD,2004-09-10,DDC CONSULTING & ENGINEERING/TRAFFIC TECH INST OF FACULTY OF,Slovenia,SI,798903.00,RS-FBIH/3CS,89585
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Moldova,MD,P090037,Persistent Organic Pollutants (POPs) Stockpiles Management &,Project Management,Consultant Services,Individual,Global Environment Project,1247632,Industry and trade,CONSULTING SERVICES - ASSESSMENT OF THE INSTITUTIONAL CAPACI,2005-02-13,INDIVIDUAL CONSULTANT,Slovenia,SI,4106.00,,97267
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Moldova,MD,P090037,Persistent Organic Pollutants (POPs) Stockpiles Management &,Project Management,Consultant Services,Individual,Global Environment Project,1247632,"Water, sanitation and flood protection",CONSULTING SERVICES - ASSESSMENT OF THE INSTITUTIONAL CAPACI,2005-02-13,INDIVIDUAL CONSULTANT,Slovenia,SI,4839.00,,97272
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Moldova,MD,P090037,Persistent Organic Pollutants (POPs) Stockpiles Management &,Project Management,Consultant Services,Individual,Global Environment Project,1247632,"Public Administration, Law, and Justice",CONSULTING SERVICES - ASSESSMENT OF THE INSTITUTIONAL CAPACI,2005-02-13,INDIVIDUAL CONSULTANT,Slovenia,SI,5719.00,,97274
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Montenegro,ME,P087470,Pensions System Administration Investment Project (Montenegr,Institution building,Consultant Services,CQS,IBRD/IDA,1248958,Finance,TA FOR RESTRUCTURING AND MODERNIZATION OF THE FUND PIO (IT A,2005-01-25,NOEMA COOPERATING D.O.O.,Slovenia,SI,90367.00,"MPSAIP-(2)-4, 5",97435
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Montenegro,ME,P077473,Emergency Stabilization of Electricity Supply Project (Monte,"Works, Installation & Erection",Civil Works,International Competitive Bidding,IBRD/IDA,1251454,Energy and mining,SUPPLY & INSTALLATION OF AUTOMATED METER READING SYSTEM,2005-09-28,SIEMENS D.O.O.,Slovenia,SI,1824440.00,EPCG 1/04,97439
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Montenegro,ME,P087470,Pensions System Administration Investment Project (Montenegr,"Management Advice, Technical/Operation A",Consultant Services,CQS,IBRD/IDA,1252400,Finance,BUSINESS PROCESS ANALYSIS AND STRUCTURAL REFORM DESIGN,2005-01-28,NOEMA COOPERATING D.O.O.,Slovenia,SI,4344.00,SAM-MPSAIP-3919YF-CS-CQ-B3,97443
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Montenegro,ME,P087470,Pensions System Administration Investment Project (Montenegr,"Management Advice, Technical/Operation A",Consultant Services,CQS,IBRD/IDA,1252400,"Public Administration, Law, and Justice",BUSINESS PROCESS ANALYSIS AND STRUCTURAL REFORM DESIGN,2005-01-28,NOEMA COOPERATING D.O.O.,Slovenia,SI,82532.00,SAM-MPSAIP-3919YF-CS-CQ-B3,97445
2013-07-21,2005,EUROPE AND CENTRAL ASIA,Serbia,YF,P077675,Health Project (Serbia),Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1254276,Health and other social services,SENIOR POLICY ADVISOR,2005-06-20,INDIVIDUAL CONSULTANT,Slovenia,SI,146763.00,SAM-SHP-3768YF-IC-054-B5-CS-05,99584
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Azerbaijan,AZ,P070989,Education Sector Development Project,Project Management,Consultant Services,Individual,IBRD/IDA,1258201,Education,PROJECT IMPLEMENTATION SPECIALIST,2006-04-10,INDIVIDUAL CONSULTANT,Slovenia,SI,136900.00,NO 3769AZ-CS-IC-067,102704
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P079161,Forest Development & Conservation Project,Project Management,Consultant Services,Individual,IBRD/IDA,1260381,"Public Administration, Law, and Justice",CONSULTING SERVICES FOR SUPPORT AND COORDINATION OF PHASE 1,2006-03-06,INDIVIDUAL CONSULTANT,Slovenia,SI,37400.00,BA-FDCP-IC-TS4-BH-CS-05-BOS3779,103187
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P083353,Urban Infrastructure & Service Delivery Project,"Equipment, Water Supply and Sewerage",Goods,International Competitive Bidding,IBRD/IDA,1258057,"Water, sanitation and flood protection",PURCHASE OF MATERIALS AND EQUIPMENT FOR DISTRIBUTIVE PIPELIN,2006-03-15,CMC EKOCON D.O.O.,Slovenia,SI,1810468.00,CAZIN-ICB-03-G-05-3954 BOS (LOTS,103224
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P079161,Forest Development & Conservation Project,Project Management,Consultant Services,Individual,IBRD/IDA,1260381,"Agriculture, fishing, and forestry",CONSULTING SERVICES FOR SUPPORT AND COORDINATION OF PHASE 1,2006-03-06,INDIVIDUAL CONSULTANT,Slovenia,SI,37400.00,BA-FDCP-IC-TS4-BH-CS-05-BOS3779,103420
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P091715,Agricultural Acquis Cohesion Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1258446,"Public Administration, Law, and Justice",PAYMENT AGENCY INFORMATION SYSTEM ADVISER,2005-10-12,INDIVIDUAL CONSULTANT,Slovenia,SI,25750.00,,105104
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P067149,Real Property Registration & Cadastre Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1257723,"Agriculture, fishing, and forestry",GEODETIC CADASTRAL SERVICES FOR PRODUCTION OF DIGITAL CADAST,2005-12-19,GEODETSKI ZAVOD SLOVENIJE D.D. AND GEODETSKI ZAVOD D.D. SPLI,Slovenia,SI,77738.00,SGA/B/2/ICB/05/05 LOT 2,105113
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P086671,Education Sector Development Program Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1255571,Education,SCHOOL NETWORK SPECIALIST,2005-11-04,INDIVIDUAL CONSULTANT,Slovenia,SI,24438.00,CONTRACT 29/05,105123
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P093767,TRADE AND TRANSPORT INTEGRATION,"Management Advice, Technical/Operation A",Consultant Services,CQS,IBRD/IDA,1257287,Transportation,ADVISORY SERVICES IN THE SCOPE OF THE ELABORATION OF THE MAI,2006-02-23,INSTITUT ZA VODE REPUBLIKE SLOVENIJE,Slovenia,SI,32052.00,P4220-1.5.3,105133
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P086671,Education Sector Development Program Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1255571,"Public Administration, Law, and Justice",SCHOOL NETWORK SPECIALIST,2005-11-04,INDIVIDUAL CONSULTANT,Slovenia,SI,4313.00,CONTRACT 29/05,105179
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P067149,Real Property Registration & Cadastre Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1253286,"Public Administration, Law, and Justice",PRODUCTION OF THE DIGITAL CADASTRAL MAPS,2005-07-29,GEODETSKI ZAVOD SLOVENIJE D.D.AND GEODETSKI ZAVOD D.D SPLIT,Slovenia,SI,117767.00,SGA/B2/ICB/05/03 LOT 3,105180
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P067149,Real Property Registration & Cadastre Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1257723,"Public Administration, Law, and Justice",GEODETIC CADASTRAL SERVICES FOR PRODUCTION OF DIGITAL CADAST,2005-12-19,GEODETSKI ZAVOD SLOVENIJE D.D. AND GEODETSKI ZAVOD D.D. SPLI,Slovenia,SI,116606.00,SGA/B/2/ICB/05/05 LOT 2,105185
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P091715,Agricultural Acquis Cohesion Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1258446,"Agriculture, fishing, and forestry",PAYMENT AGENCY INFORMATION SYSTEM ADVISER,2005-10-12,INDIVIDUAL CONSULTANT,Slovenia,SI,14420.00,,105191
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P091715,Agricultural Acquis Cohesion Project,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1258446,Industry and trade,PAYMENT AGENCY INFORMATION SYSTEM ADVISER,2005-10-12,INDIVIDUAL CONSULTANT,Slovenia,SI,11330.00,,105192
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P067149,Real Property Registration & Cadastre Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1253286,"Agriculture, fishing, and forestry",PRODUCTION OF THE DIGITAL CADASTRAL MAPS,2005-07-29,GEODETSKI ZAVOD SLOVENIJE D.D.AND GEODETSKI ZAVOD D.D SPLIT,Slovenia,SI,78511.00,SGA/B2/ICB/05/03 LOT 3,105220
2013-07-21,2006,EUROPE AND CENTRAL ASIA,Croatia,HR,P067149,Real Property Registration & Cadastre Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1253282,"Agriculture, fishing, and forestry",PRODUCTION OF THE DIGITAL CADATRAL MAPS,2005-07-29,GEODETSKI ZAVOD SLOVENIJE D.D.AND GEODETSKI ZAVOD D.D SPLIT,Slovenia,SI,85157.00,SGA/B2/ICB/05/01 LOT 1,105221
